Trip_ID,VendorID,City,Pickup_Date,Pickup_Time,Dropoff_Time,Weekday,Month,Peak_Hour,Trip_Distance_km,Trip_Duration_min,Passenger_Count,Pickup_Zone,Dropoff_Zone,Pickup_Borough,Dropoff_Borough,Pickup_Latitude,Pickup_Longitude,Dropoff_Latitude,Dropoff_Longitude,Fare_Amount_INR,Tip_Amount_INR,Toll_Amount_INR,Total_Amount_INR,Payment_Method,Vehicle_Type,Driver_Rating,Ride_Status,Data_Source
TRIP000030,Uber,Delhi,2026-01-21,21:53:00,21:55:24,Wednesday,January,Off-Peak,0.74,2.4,1,Delhi Central,Delhi Central,Delhi Central,Delhi Central,28.54339,77.16481,28.55779,77.20975,52.48,0.0,0,52.48,UPI,eBike,3.6,Cancelled by Driver,Synthetic proxy (no real dataset exists for this city)
TRIP000031,Local Fleet,Delhi,2026-01-19,08:32:00,08:35:06,Monday,January,Peak,0.92,3.1,1,Delhi North,Delhi Central,Delhi North,Delhi Central,28.66123,77.17284,28.70574,77.2617,55.69,0.0,0,55.69,UPI,Bike,3.6,Completed,Synthetic proxy (no real dataset exists for this city)
TRIP000032,Uber,Delhi,2026-01-06,11:11:00,11:21:48,Tuesday,January,Off-Peak,2.64,10.8,2,Delhi West,Delhi South,Delhi West,Delhi South,28.52046,77.2996,28.62424,77.20554,87.88,0.0,40,127.88,Card,Prime Sedan,3.7,Completed,Synthetic proxy (no real dataset exists for this city)
TRIP000033,Ola,Delhi,2026-01-22,11:19:00,11:20:30,Thursday,January,Off-Peak,0.5,1.5,1,Delhi Central,Delhi West,Delhi Central,Delhi West,28.70636,77.27708,28.59263,77.23328,48.25,0.0,0,48.25,UPI,eBike,4.7,Completed,Synthetic proxy (no real dataset exists for this city)
TRIP000034,Ola,Delhi,2026-01-22,11:39:00,12:03:48,Thursday,January,Off-Peak,6.5,24.8,1,Delhi East,Delhi Central,Delhi East,Delhi Central,28.62497,77.20326,28.63943,77.20325,155.2,7.76,0,162.96,Cash,eBike,4.8,Completed,Synthetic proxy (no real dataset exists for this city)
TRIP000035,Rapido,Delhi,2026-01-25,19:23:00,19:32:24,Sunday,January,Peak,2.67,9.4,2,Delhi South,Delhi North,Delhi South,Delhi North,28.64113,77.13828,28.52881,77.17901,86.14,0.0,0,86.14,Card,Prime SUV,3.7,Completed,Synthetic proxy (no real dataset exists for this city)
TRIP000036,Uber,Delhi,2025-12-13,21:31:00,22:57:30,Saturday,December,Off-Peak,16.08,86.5,2,Delhi West,Delhi East,Delhi West,Delhi East,28.58384,77.17689,28.6878,77.2069,362.71,0.0,0,362.71,Card,eBike,4.1,Completed,Synthetic proxy (no real dataset exists for this city)
TRIP000037,Ola,Delhi,2026-01-31,03:49:00,04:16:36,Saturday,January,Off-Peak,4.85,27.6,1,Delhi North,Delhi South,Delhi North,Delhi South,28.53134,77.13685,28.6774,77.25995,139.6,0.0,0,139.6,UPI,Bike,3.6,Completed,Synthetic proxy (no real dataset exists for this city)
TRIP000038,Local Fleet,Delhi,2026-01-30,03:38:00,03:40:42,Friday,January,Off-Peak,0.84,2.7,1,Delhi East,Delhi Central,Delhi East,Delhi Central,28.62801,77.22006,28.632,77.24913,54.13,0.0,0,54.13,Wallet,eBike,4.9,Completed,Synthetic proxy (no real dataset exists for this city)
TRIP000039,Local Fleet,Delhi,2026-02-21,01:09:00,01:23:00,Saturday,February,Off-Peak,3.06,14.0,1,Delhi North,Delhi West,Delhi North,Delhi West,28.59109,77.30373,28.55034,77.22592,97.72,0.0,0,97.72,UPI,Prime SUV,4.6,Completed,Synthetic proxy (no real dataset exists for this city)
TRIP000040,Uber,Delhi,2026-01-09,20:29:00,20:31:54,Friday,January,Off-Peak,0.5,2.9,1,Delhi West,Delhi South,Delhi West,Delhi South,28.65148,77.30478,28.5785,77.21423,50.35,0.0,0,50.35,UPI,Auto,4.0,Completed,Synthetic proxy (no real dataset exists for this city)
TRIP000041,Uber,Delhi,2026-02-08,11:46:00,11:48:18,Sunday,February,Off-Peak,0.5,2.3,1,Delhi West,Delhi West,Delhi West,Delhi West,28.64788,77.22084,28.69796,77.2916,49.45,0.0,0,49.45,Cash,Prime SUV,4.2,Completed,Synthetic proxy (no real dataset exists for this city)
TRIP000042,Ola,Delhi,2025-12-20,19:24:00,19:29:06,Saturday,December,Peak,0.99,5.1,1,Delhi South,Delhi South,Delhi South,Delhi South,28.70442,77.11872,28.52877,77.13473,59.53,0.0,0,59.53,UPI,Auto,4.7,Completed,Synthetic proxy (no real dataset exists for this city)
TRIP000043,Rapido,Delhi,2026-02-09,16:14:00,16:34:36,Monday,February,Off-Peak,5.05,20.6,4,Delhi West,Delhi East,Delhi West,Delhi East,28.53876,77.15262,28.58032,77.16829,131.5,0.0,0,131.5,Cash,Mini,4.3,Completed,Synthetic proxy (no real dataset exists for this city)
TRIP000044,Rapido,Delhi,2026-02-01,22:52:00,23:05:42,Sunday,February,Off-Peak,2.82,13.7,1,Delhi South,Delhi West,Delhi South,Delhi West,28.54258,77.13342,28.62178,77.17009,94.39,4.72,0,99.11,Wallet,Auto,4.6,Completed,Synthetic proxy (no real dataset exists for this city)
TRIP000045,Uber,Delhi,2025-12-22,08:20:00,08:24:06,Monday,December,Peak,0.69,4.1,1,Delhi Central,Delhi South,Delhi Central,Delhi South,28.59314,77.28495,28.52281,77.28714,54.43,0.0,0,54.43,UPI,Mini,3.6,Cancelled by Customer,Synthetic proxy (no real dataset exists for this city)
TRIP000046,Local Fleet,Delhi,2025-12-31,09:56:00,10:14:48,Wednesday,December,Peak,3.88,18.8,1,Delhi Central,Delhi North,Delhi Central,Delhi North,28.66073,77.27953,28.63393,77.21029,114.76,0.0,0,114.76,UPI,Auto,4.1,Completed,Synthetic proxy (no real dataset exists for this city)
TRIP000047,Local Fleet,Delhi,2026-02-27,19:55:00,20:12:12,Friday,February,Peak,4.01,17.2,3,Delhi South,Delhi Central,Delhi South,Delhi Central,28.53872,77.30573,28.51906,77.20355,113.92,0.0,40,153.92,UPI,Prime SUV,4.4,Completed,Synthetic proxy (no real dataset exists for this city)
TRIP000048,Uber,Delhi,2025-12-22,16:58:00,17:02:12,Monday,December,Off-Peak,0.98,4.2,2,Delhi South,Delhi Central,Delhi South,Delhi Central,28.51464,77.27504,28.67819,77.25927,58.06,0.0,60,118.06,UPI,Mini,4.2,Completed,Synthetic proxy (no real dataset exists for this city)
TRIP000049,Ola,Delhi,2026-01-30,10:17:00,10:41:54,Friday,January,Off-Peak,4.3,24.9,3,Delhi South,Delhi East,Delhi South,Delhi East,28.53771,77.15323,28.62257,77.2634,128.95,0.0,0,128.95,UPI,Prime Sedan,4.5,Completed,Synthetic proxy (no real dataset exists for this city)
TRIP000050,Local Fleet,Delhi,2026-01-15,01:05:00,01:14:06,Thursday,January,Off-Peak,2.94,9.1,4,Delhi West,Delhi North,Delhi West,Delhi North,28.62744,77.22951,28.57043,77.12582,88.93,0.0,0,88.93,Wallet,Prime Sedan,4.0,Completed,Synthetic proxy (no real dataset exists for this city)
TRIP000051,Uber,Delhi,2025-12-24,20:47:00,21:11:30,Wednesday,December,Off-Peak,4.95,24.5,3,Delhi East,Delhi North,Delhi East,Delhi North,28.52714,77.16364,28.57424,77.21954,136.15,0.0,0,136.15,Card,Mini,4.1,Completed,Synthetic proxy (no real dataset exists for this city)
TRIP000052,Local Fleet,Delhi,2026-01-08,08:33:00,08:52:06,Thursday,January,Peak,5.02,19.1,1,Delhi West,Delhi West,Delhi West,Delhi West,28.64586,77.16885,28.59831,77.27136,128.89,0.0,0,128.89,UPI,Auto,3.5,Cancelled by Customer,Synthetic proxy (no real dataset exists for this city)
TRIP000053,Ola,Delhi,2026-02-10,06:42:00,06:44:30,Tuesday,February,Off-Peak,0.64,2.5,4,Delhi Central,Delhi North,Delhi Central,Delhi North,28.55366,77.11503,28.63075,77.25283,51.43,2.57,0,54.0,Card,eBike,3.5,Completed,Synthetic proxy (no real dataset exists for this city)
TRIP000054,Rapido,Delhi,2026-01-22,08:44:00,08:58:18,Thursday,January,Peak,2.9,14.3,1,Delhi East,Delhi North,Delhi East,Delhi North,28.58843,77.11651,28.58182,77.27968,96.25,9.62,0,105.87,UPI,Prime SUV,4.8,Completed,Synthetic proxy (no real dataset exists for this city)
TRIP000055,Local Fleet,Delhi,2025-12-25,01:49:00,01:55:42,Thursday,December,Off-Peak,1.22,6.7,1,Delhi Central,Delhi North,Delhi Central,Delhi North,28.58078,77.29669,28.52085,77.14052,64.69,0.0,0,64.69,UPI,Prime SUV,4.5,Completed,Synthetic proxy (no real dataset exists for this city)
TRIP000056,Ola,Delhi,2026-02-03,13:19:00,13:29:00,Tuesday,February,Off-Peak,2.2,10.0,1,Delhi West,Delhi South,Delhi West,Delhi South,28.6243,77.22185,28.57141,77.12949,81.4,0.0,0,81.4,Card,Auto,4.5,Completed,Synthetic proxy (no real dataset exists for this city)
TRIP000057,Local Fleet,Delhi,2025-12-31,03:01:00,03:27:00,Wednesday,December,Off-Peak,6.31,26.0,1,Delhi North,Delhi Central,Delhi North,Delhi Central,28.65079,77.25003,28.69315,77.17979,154.72,0.0,0,154.72,Cash,eBike,5.0,Completed,Synthetic proxy (no real dataset exists for this city)
TRIP000058,Uber,Delhi,2025-12-02,04:07:00,04:12:54,Tuesday,December,Off-Peak,1.21,5.9,3,Delhi North,Delhi South,Delhi North,Delhi South,28.53385,77.22578,28.5747,77.22106,63.37,0.0,0,63.37,UPI,eBike,4.7,Completed,Synthetic proxy (no real dataset exists for this city)
TRIP000059,Ola,Delhi,2026-02-11,22:09:00,22:11:06,Wednesday,February,Off-Peak,0.5,2.1,1,Delhi East,Delhi West,Delhi East,Delhi West,28.5601,77.27263,28.53576,77.29515,49.15,0.0,0,49.15,UPI,eBike,4.5,Completed,Synthetic proxy (no real dataset exists for this city)
TRIP000060,Rapido,Delhi,2026-02-13,05:42:00,06:02:48,Friday,February,Off-Peak,4.64,20.8,1,Delhi East,Delhi North,Delhi East,Delhi North,28.52468,77.19984,28.637,77.14812,126.88,0.0,0,126.88,Cash,Mini,3.8,Completed,Synthetic proxy (no real dataset exists for this city)
TRIP000061,Uber,Delhi,2026-02-15,03:56:00,04:47:54,Sunday,February,Off-Peak,8.68,51.9,1,Delhi West,Delhi North,Delhi West,Delhi North,28.57915,77.1955,28.65534,77.15232,222.01,0.0,0,222.01,UPI,Mini,4.7,Completed,Synthetic proxy (no real dataset exists for this city)
TRIP000062,Ola,Delhi,2026-01-06,10:16:00,10:19:48,Tuesday,January,Off-Peak,0.89,3.8,1,Delhi South,Delhi South,Delhi South,Delhi South,28.51169,77.22936,28.52124,77.28151,56.38,0.0,0,56.38,Card,Mini,3.6,Completed,Synthetic proxy (no real dataset exists for this city)
TRIP000063,Local Fleet,Delhi,2026-02-12,11:48:00,11:52:24,Thursday,February,Off-Peak,1.26,4.4,3,Delhi East,Delhi North,Delhi East,Delhi North,28.62083,77.23184,28.60402,77.17495,61.72,0.0,0,61.72,UPI,Auto,4.5,Completed,Synthetic proxy (no real dataset exists for this city)
TRIP000064,Uber,Delhi,2025-12-31,03:26:00,03:54:30,Wednesday,December,Off-Peak,5.72,28.5,1,Delhi North,Delhi East,Delhi North,Delhi East,28.69223,77.25794,28.6445,77.21402,151.39,0.0,0,151.39,UPI,Prime SUV,4.0,Completed,Synthetic proxy (no real dataset exists for this city)
TRIP000065,Rapido,Delhi,2026-02-07,22:43:00,22:54:54,Saturday,February,Off-Peak,2.11,11.9,1,Delhi East,Delhi West,Delhi East,Delhi West,28.57359,77.30408,28.68535,77.15998,83.17,4.16,0,87.33,UPI,Bike,3.8,Completed,Synthetic proxy (no real dataset exists for this city)
TRIP000066,Local Fleet,Delhi,2026-01-25,17:31:00,17:57:06,Sunday,January,Off-Peak,5.15,26.1,1,Delhi North,Delhi West,Delhi North,Delhi West,28.52472,77.18003,28.63479,77.14847,140.95,0.0,0,140.95,UPI,Prime SUV,4.3,Completed,Synthetic proxy (no real dataset exists for this city)
TRIP000067,Rapido,Delhi,2026-01-05,21:56:00,22:27:54,Monday,January,Off-Peak,6.22,31.9,4,Delhi South,Delhi Central,Delhi South,Delhi Central,28.55361,77.15282,28.52705,77.28929,162.49,0.0,0,162.49,Wallet,Prime Sedan,4.2,Completed,Synthetic proxy (no real dataset exists for this city)
TRIP000068,Rapido,Delhi,2026-01-07,18:16:00,18:41:24,Wednesday,January,Peak,7.0,25.4,1,Delhi East,Delhi West,Delhi East,Delhi West,28.65346,77.306,28.5407,77.29538,162.1,0.0,0,162.1,UPI,Mini,4.8,Completed,Synthetic proxy (no real dataset exists for this city)
TRIP000069,Local Fleet,Delhi,2025-12-14,09:14:00,09:22:00,Sunday,December,Peak,1.92,8.0,2,Delhi North,Delhi North,Delhi North,Delhi North,28.69021,77.25027,28.62787,77.16615,75.04,0.0,0,75.04,UPI,Mini,4.6,Completed,Synthetic proxy (no real dataset exists for this city)
TRIP000070,Rapido,Delhi,2026-01-23,03:22:00,03:39:36,Friday,January,Off-Peak,3.11,17.6,3,Delhi South,Delhi North,Delhi South,Delhi North,28.5168,77.27853,28.56297,77.1818,103.72,5.19,0,108.91,Card,Prime Sedan,4.3,Completed,Synthetic proxy (no real dataset exists for this city)
TRIP000071,Local Fleet,Delhi,2026-01-09,01:29:00,01:41:48,Friday,January,Off-Peak,2.55,12.8,2,Delhi North,Delhi Central,Delhi North,Delhi Central,28.5765,77.1394,28.68469,77.15243,89.8,0.0,0,89.8,UPI,Prime Sedan,4.0,Completed,Synthetic proxy (no real dataset exists for this city)
TRIP000072,Ola,Delhi,2025-12-24,08:27:00,09:03:48,Wednesday,December,Peak,9.24,36.8,1,Delhi South,Delhi North,Delhi South,Delhi North,28.60069,77.26174,28.59413,77.1494,206.08,0.0,0,206.08,UPI,Mini,3.6,Completed,Synthetic proxy (no real dataset exists for this city)
TRIP000073,Rapido,Delhi,2025-12-16,03:34:00,03:43:30,Tuesday,December,Off-Peak,2.43,9.5,1,Delhi Central,Delhi North,Delhi Central,Delhi North,28.58025,77.2175,28.65981,77.13251,83.41,8.34,0,91.75,Card,Auto,4.1,Completed,Synthetic proxy (no real dataset exists for this city)
TRIP000074,Rapido,Delhi,2026-02-12,20:13:00,20:16:06,Thursday,February,Off-Peak,0.69,3.1,2,Delhi South,Delhi North,Delhi South,Delhi North,28.56456,77.27489,28.68849,77.18011,52.93,0.0,0,52.93,Cash,eBike,4.0,Completed,Synthetic proxy (no real dataset exists for this city)
TRIP000075,Rapido,Delhi,2026-02-03,19:35:00,19:47:42,Tuesday,February,Peak,2.19,12.7,1,Delhi East,Delhi East,Delhi East,Delhi East,28.63942,77.30326,28.67865,77.21531,85.33,0.0,0,85.33,UPI,Auto,3.9,Completed,Synthetic proxy (no real dataset exists for this city)
TRIP000076,Local Fleet,Delhi,2026-02-22,12:39:00,13:00:06,Sunday,February,Off-Peak,4.07,21.1,2,Delhi West,Delhi East,Delhi West,Delhi East,28.60614,77.19895,28.61626,77.22963,120.49,0.0,0,120.49,Cash,Prime Sedan,4.5,Completed,Synthetic proxy (no real dataset exists for this city)
TRIP000077,Rapido,Delhi,2026-02-25,02:19:00,02:43:12,Wednesday,February,Off-Peak,7.95,24.2,1,Delhi Central,Delhi North,Delhi Central,Delhi North,28.64069,77.22143,28.52291,77.23435,171.7,0.0,0,171.7,Card,Prime Sedan,4.6,Completed,Synthetic proxy (no real dataset exists for this city)
TRIP000078,Rapido,Delhi,2025-12-16,17:12:00,17:14:48,Tuesday,December,Off-Peak,0.5,2.8,1,Delhi East,Delhi South,Delhi East,Delhi South,28.62055,77.15773,28.63707,77.28075,50.2,0.0,0,50.2,UPI,eBike,3.5,Completed,Synthetic proxy (no real dataset exists for this city)
TRIP000079,Uber,Delhi,2026-02-15,11:56:00,12:21:30,Sunday,February,Off-Peak,5.25,25.5,1,Delhi Central,Delhi South,Delhi Central,Delhi South,28.63417,77.29891,28.64204,77.24363,141.25,0.0,0,141.25,Wallet,eBike,3.6,Completed,Synthetic proxy (no real dataset exists for this city)
TRIP000080,Local Fleet,Delhi,2025-12-02,14:19:00,14:26:36,Tuesday,December,Off-Peak,1.97,7.6,3,Delhi West,Delhi Central,Delhi West,Delhi Central,28.69798,77.30605,28.67798,77.30808,75.04,0.0,0,75.04,UPI,Bike,4.1,Completed,Synthetic proxy (no real dataset exists for this city)
TRIP000081,Ola,Delhi,2026-02-16,14:42:00,15:03:06,Monday,February,Off-Peak,4.17,21.1,1,Delhi West,Delhi South,Delhi West,Delhi South,28.69873,77.15647,28.52174,77.2407,121.69,0.0,0,121.69,Cash,Bike,4.2,Completed,Synthetic proxy (no real dataset exists for this city)
TRIP000082,Rapido,Delhi,2026-01-10,07:27:00,07:31:00,Saturday,January,Off-Peak,0.73,4.0,3,Delhi Central,Delhi North,Delhi Central,Delhi North,28.62944,77.28585,28.60868,77.14299,54.76,0.0,0,54.76,UPI,Prime Sedan,3.8,Completed,Synthetic proxy (no real dataset exists for this city)
TRIP000083,Ola,Delhi,2025-12-09,13:14:00,13:36:24,Tuesday,December,Off-Peak,4.37,22.4,1,Delhi Central,Delhi North,Delhi Central,Delhi North,28.65854,77.30997,28.65211,77.24561,126.04,12.6,40,178.64,Cash,Prime Sedan,4.7,Completed,Synthetic proxy (no real dataset exists for this city)
TRIP000084,Rapido,Delhi,2026-01-09,07:56:00,07:58:36,Friday,January,Off-Peak,0.5,2.6,3,Delhi South,Delhi South,Delhi South,Delhi South,28.58228,77.29117,28.70875,77.19437,49.9,2.5,0,52.4,UPI,eBike,4.2,Completed,Synthetic proxy (no real dataset exists for this city)
TRIP000085,Rapido,Delhi,2025-12-16,04:26:00,05:03:06,Tuesday,December,Off-Peak,7.22,37.1,2,Delhi West,Delhi East,Delhi West,Delhi East,28.57672,77.2419,28.69158,77.15692,182.29,0.0,0,182.29,UPI,Auto,3.7,Completed,Synthetic proxy (no real dataset exists for this city)
TRIP000086,Rapido,Delhi,2026-02-01,11:17:00,11:18:42,Sunday,February,Off-Peak,0.5,1.7,1,Delhi East,Delhi East,Delhi East,Delhi East,28.61336,77.23476,28.55794,77.11197,48.55,4.86,0,53.41,UPI,eBike,4.8,Completed,Synthetic proxy (no real dataset exists for this city)
